SAMPLE	MHC	EC	SC	CP	AZ	IPS
TCGA.3C.AAAU.01	0.553878033297038	0.100451317094405	-0.165299657105944	0.125806678756432	0.61483637204193	2
TCGA.3C.AALI.01	0.681335686481483	0.340577235755381	-0.399700572804631	-0.0413569366355312	0.580855412796701	2
TCGA.3C.AALJ.01	0.680245147024739	0.322548532525787	-0.376344746630068	0.0362665318374854	0.662715464757944	2
TCGA.3C.AALK.01	0.619864752760936	0.265948897982671	-0.343199012248925	0.0600791889789246	0.602693827473607	2
TCGA.4H.AAAK.01	0.60986357967551	0.247634502790396	-0.364353088742031	0.0320704899231683	0.525215483647044	2
TCGA.5L.AAT0.01	0.686723898428974	0.275291956205205	-0.40639534492602	0.0576771393234425	0.613297649031602	2
TCGA.5L.AAT1.01	0.799690403474619	0.346652163354328	-0.502924618790858	-0.0590824271532277	0.584335520884861	2
TCGA.5T.A9QA.01	0.646044408023497	0.101960167052822	-0.198772184510587	0.0653129866136497	0.614545377179381	2
TCGA.A1.A0SB.01	0.476890811388579	0.0659207464614783	-0.0224694890704924	0.139362619530768	0.659704688310333	2
TCGA.A1.A0SD.01	0.661917865441509	0.224559492847065	-0.331134895630883	-0.00821067076606988	0.547131791891621	2
TCGA.A1.A0SE.01	0.542186158354385	0.220572081996929	-0.186451408816861	0.0841618728456331	0.660468704380085	2
TCGA.A1.A0SF.01	0.666781676318504	0.316835261964475	-0.243772800775053	0.0471026576191787	0.786946795127105	3
TCGA.A1.A0SG.01	0.535641483476189	0.218746108097307	-0.285108047753146	0.0721836160690496	0.5414631598894	2
TCGA.A1.A0SH.01	0.589550505523233	0.183352098363432	-0.321913391453156	0.0411749629992949	0.492164175432804	2
TCGA.A1.A0SI.01	0.705839864528685	0.3337182779472	-0.389149875281849	-0.073148018530439	0.577260248663597	2
TCGA.A1.A0SJ.01	0.619281220263624	0.252646298540903	-0.259681408145698	0.0856682530793558	0.697914363738184	2
TCGA.A1.A0SK.01	0.389334856312862	0.102481333497265	-0.106788521614022	0.10102950777009	0.486057175966195	2
TCGA.A1.A0SM.01	0.627308480976071	0.202623349062402	-0.344276579475786	-0.0251161768448635	0.460539073717823	2
TCGA.A1.A0SN.01	0.668416028330498	0.346473796290571	-0.459475179152013	-0.0300548830033823	0.525359762465673	2
TCGA.A1.A0SO.01	0.503902664621625	0.177214301643088	-0.194970360945569	0.0977268094274521	0.583873414746595	2
TCGA.A1.A0SP.01	0.576774653156866	0.354621377277217	-0.491657713201323	0.00224213618122059	0.441980453413981	1
TCGA.A1.A0SQ.01	0.544607865686612	0.206487768723762	-0.281337665267293	0.0602879505704252	0.530045919713506	2
TCGA.A2.A04N.01	0.576132778463183	0.172968373385263	-0.282766112532995	0.0870606683720148	0.553395707687466	2
TCGA.A2.A04P.01	0.712265292729464	0.361384066104465	-0.461400268388737	-0.00341208551813294	0.608837004927059	2
TCGA.A2.A04Q.01	0.831194277016433	0.480484664287911	-0.689263673717082	-0.189771682230122	0.43264358535714	1
TCGA.A2.A04R.01	0.473631995386204	0.14433363506665	-0.124797472751932	0.110399983851765	0.603568141552688	2
TCGA.A2.A04T.01	0.619601502636466	0.374548824737149	-0.490461969682195	-0.118551945366429	0.385136412324992	1
TCGA.A2.A04U.01	0.531708716555862	0.210651822892818	-0.257465631862717	0.111289213482664	0.596184121068626	2
TCGA.A2.A04V.01	0.57044332129669	0.212266667468023	-0.323444005301207	0.0186526238167109	0.477918607280217	2
TCGA.A2.A04W.01	0.607128050798699	0.148830920412401	-0.334817332805409	0.131001411634974	0.552143050040665	2
TCGA.A2.A04X.01	0.836108681235664	0.380925736849195	-0.467471544036813	-0.0852745852572566	0.664288288790789	2
TCGA.A2.A04Y.01	0.632791779707153	0.324527421293604	-0.454105226615396	-0.030626137350203	0.472587837035158	2
TCGA.A2.A0CK.01	0.649836085665316	0.266518474536916	-0.307534958356475	0.0645955075155061	0.673415109361263	2
TCGA.A2.A0CL.01	0.786349282594668	0.490371420120289	-0.574635825618105	-0.139568097022267	0.562516780074586	2
TCGA.A2.A0CM.01	0.753530719870333	0.435795925003715	-0.561917040931365	-0.158154339319438	0.469255264623245	2
TCGA.A2.A0CO.01	0.732035464581678	0.344379123354381	-0.489694363484832	0.0116310056867444	0.598351230137971	2
TCGA.A2.A0CP.01	0.622182572857478	0.172756643547691	-0.269337780512923	0.0787155997125718	0.604317035604817	2
TCGA.A2.A0CQ.01	0.598377038883166	0.182290761638311	-0.357631966902753	0.0255541989003671	0.448590032519091	1
TCGA.A2.A0CR.01	0.819098757807581	0.435454517688019	-0.620432548881341	0.0368453250105586	0.670966051624818	2
TCGA.A2.A0CS.01	0.64215709019414	0.170030372482362	-0.333922531926405	0.0331451270007844	0.511410057750881	2
TCGA.A2.A0CT.01	0.547403221134836	0.193906520624395	-0.302262215000752	0.038939003497221	0.4779865302557	2
TCGA.A2.A0CU.01	0.488718446582979	0.187121610791671	-0.22389783288089	0.0674551234333118	0.519397347927072	2
TCGA.A2.A0CV.01	0.64468656143685	0.242898122695678	-0.35832065595643	0.045770292723561	0.575034320899659	2
TCGA.A2.A0CW.01	0.714550735764785	0.256308981866667	-0.372959840856584	-0.0633828396068344	0.534517037168033	2
TCGA.A2.A0CX.01	0.664896190435729	0.321190198659109	-0.538679140846536	-0.0664781533454902	0.380929094902812	1
TCGA.A2.A0CY.01	0.475714666640476	0.0485927967449594	-0.28351014568051	0.199239507627236	0.440036825332161	1
TCGA.A2.A0CZ.01	0.68506802048294	0.273934808857797	-0.425409723627719	0.0132771355066033	0.546870241219621	2
